MAIN_ACT,amount,YEAR
root,,
2021,,root
2020,,root
2019,,root
2018,,root
2017,,root
2016,,root
2015,,root
2014,,root
2013,,root
2012,,root
2011,,root
2010,,root
2009,,root
2008,,root
production of cement clinker ,151822580,2012
Production of coke,13496477,2012
Production of glyoxal and glyoxylic acid,0,2012
Production of gypsum or plasterboard,370962,2012
Production of hydrogen and synthesis gas,588209,2012
Production of metals,12127206,2012
Production of nitric acid,694074,2012
production of pig iron or steel ,160195830,2012
Production of quicklime,33968036,2012
Production of sodium carbonates,1095905,2012
Refining of mineral oil,121527193,2012
#N/A,400442349,2012
manufacture of ceramic,13893347,2011
production of pulp or other fibrous materials ,36038876,2011
Aviation,0,2011
Capture of greenhouse gases ,17387,2011
Combustion installations ,73141204,2011
Combustion of fuels,896612884,2011
manufacture of glass,20672859,2011
Manufacture of mineral wool,1776519,2011
Metal ore roasting or sintering,1997991,2011
Mineral oil refineries,9942955,2011
Other activity,4918078,2011
Prodcution of aluminium,515120,2011
Production of adipic acid,0,2011
Production of ammonia,2237694,2011
Production of bulk chemicals,27018184,2011
Production of carbon black,1829833,2011
production of cement clinker ,150200237,2011
Production of coke,13516307,2011
Production of glyoxal and glyoxylic acid,0,2011
Production of gypsum or plasterboard,370829,2011
Production of hydrogen and synthesis gas,588210,2011
Production of metals,11916252,2011
Production of nitric acid,719185,2011
production of pig iron or steel ,158952815,2011
Production of quicklime,33506165,2011
Production of sodium carbonates,1095905,2011
Refining of mineral oil,118162539,2011
#N/A,349140565,2011
manufacture of ceramic,13893347,2010
production of pulp or other fibrous materials ,36038876,2010
Aviation,0,2010
Capture of greenhouse gases ,17387,2010
Combustion installations ,73141204,2010
Combustion of fuels,896612884,2010
manufacture of glass,20672859,2010
Manufacture of mineral wool,1776519,2010
Metal ore roasting or sintering,1997991,2010
Mineral oil refineries,9942955,2010
Other activity,4918078,2010
Prodcution of aluminium,515120,2010
Production of adipic acid,0,2010
Production of ammonia,2237694,2010
Production of bulk chemicals,27018184,2010
Production of carbon black,1829833,2010
production of cement clinker ,150200237,2010
Production of coke,13516307,2010
Production of glyoxal and glyoxylic acid,0,2010
Production of gypsum or plasterboard,370829,2010
Production of hydrogen and synthesis gas,588210,2010
Production of metals,11916252,2010
Production of nitric acid,719185,2010
production of pig iron or steel ,158952815,2010
Production of quicklime,33506165,2010
Production of sodium carbonates,1095905,2010
Refining of mineral oil,118162539,2010
#N/A,349140565,2010
manufacture of ceramic,13209801,2009
production of pulp or other fibrous materials ,35133432,2009
Aviation,0,2009
Capture of greenhouse gases ,17387,2009
Combustion installations ,71314557,2009
Combustion of fuels,877296302,2009
manufacture of glass,20204545,2009
Manufacture of mineral wool,1733258,2009
Metal ore roasting or sintering,1961566,2009
Mineral oil refineries,9942955,2009
Other activity,5302394,2009
Prodcution of aluminium,514905,2009
Production of adipic acid,0,2009
Production of ammonia,2880034,2009
Production of bulk chemicals,26955908,2009
Production of carbon black,1756923,2009
production of cement clinker ,148799749,2009
Production of coke,13216383,2009
Production of glyoxal and glyoxylic acid,0,2009
Production of gypsum or plasterboard,370829,2009
Production of hydrogen and synthesis gas,588211,2009
Production of metals,11873340,2009
Production of nitric acid,499546,2009
production of pig iron or steel ,157484014,2009
Production of quicklime,32889482,2009
Production of sodium carbonates,1095905,2009
Refining of mineral oil,114846099,2009
#N/A,341847948,2009
manufacture of ceramic,12809372,2008
production of pulp or other fibrous materials ,34090489,2008
Aviation,0,2008
Capture of greenhouse gases ,17095,2008
Combustion installations ,70034959,2008
Combustion of fuels,868184260,2008
manufacture of glass,19916753,2008
Manufacture of mineral wool,1607358,2008
Metal ore roasting or sintering,1895230,2008
Mineral oil refineries,9942958,2008
Other activity,4975086,2008
Prodcution of aluminium,514905,2008
Production of adipic acid,0,2008
Production of ammonia,1502977,2008
Production of bulk chemicals,26095500,2008
Production of carbon black,1738597,2008
production of cement clinker ,147124568,2008
Production of coke,13338195,2008
Production of glyoxal and glyoxylic acid,0,2008
Production of gypsum or plasterboard,369285,2008
Production of hydrogen and synthesis gas,588211,2008
Production of metals,11814359,2008
Production of nitric acid,480722,2008
production of pig iron or steel ,156995808,2008
Production of quicklime,32207568,2008
Production of sodium carbonates,1083931,2008
Refining of mineral oil,113675275,2008
#N/A,342741416,2008
